problem_id,topic
1,Array
1,Hash Table
2,Linked List
2,Math
2,Recursion
3,Hash Table
3,String
3,Sliding Window
4,Array
4,Binary Search
4,Divide and Conquer
5,Two Pointers
5,String
5,Dynamic Programming
6,String
7,Math
8,String
9,Math
10,String
10,Dynamic Programming
10,Recursion
11,Array
11,Two Pointers
11,Greedy
12,Hash Table
12,Math
12,String
13,Hash Table
13,Math
13,String
14,Array
14,String
14,Trie
15,Array
15,Two Pointers
15,Sorting
16,Array
16,Two Pointers
16,Sorting
17,Hash Table
17,String
17,Backtracking
18,Array
18,Two Pointers
18,Sorting
19,Linked List
19,Two Pointers
20,String
20,Stack
21,Linked List
21,Recursion
22,String
22,Dynamic Programming
22,Backtracking
23,Linked List
23,Divide and Conquer
23,Heap (Priority Queue)
23,Merge Sort
24,Linked List
24,Recursion
25,Linked List
25,Recursion
26,Array
26,Two Pointers
27,Array
27,Two Pointers
28,Two Pointers
28,String
28,String Matching
29,Math
29,Bit Manipulation
30,Hash Table
30,String
30,Sliding Window
31,Array
31,Two Pointers
32,String
32,Dynamic Programming
32,Stack
33,Array
33,Binary Search
34,Array
34,Binary Search
35,Array
35,Binary Search
36,Array
36,Hash Table
36,Matrix
37,Array
37,Hash Table
37,Backtracking
37,Matrix
38,String
39,Array
39,Backtracking
40,Array
40,Backtracking
41,Array
41,Hash Table
42,Array
42,Two Pointers
42,Dynamic Programming
42,Stack
42,Monotonic Stack
43,Math
43,String
43,Simulation
44,String
44,Dynamic Programming
44,Greedy
44,Recursion
45,Array
45,Dynamic Programming
45,Greedy
46,Array
46,Backtracking
47,Array
47,Backtracking
47,Sorting
48,Array
48,Math
48,Matrix
49,Array
49,Hash Table
49,String
49,Sorting
50,Math
50,Recursion
51,Array
51,Backtracking
52,Backtracking
53,Array
53,Divide and Conquer
53,Dynamic Programming
54,Array
54,Matrix
54,Simulation
55,Array
55,Dynamic Programming
55,Greedy
56,Array
56,Sorting
57,Array
58,String
59,Array
59,Matrix
59,Simulation
60,Math
60,Recursion
61,Linked List
61,Two Pointers
62,Math
62,Dynamic Programming
62,Combinatorics
63,Array
63,Dynamic Programming
63,Matrix
64,Array
64,Dynamic Programming
64,Matrix
65,String
66,Array
66,Math
67,Math
67,String
67,Bit Manipulation
67,Simulation
68,Array
68,String
68,Simulation
69,Math
69,Binary Search
70,Math
70,Dynamic Programming
70,Memoization
71,String
71,Stack
72,String
72,Dynamic Programming
73,Array
73,Hash Table
73,Matrix
74,Array
74,Binary Search
74,Matrix
75,Array
75,Two Pointers
75,Sorting
76,Hash Table
76,String
76,Sliding Window
77,Backtracking
78,Array
78,Backtracking
78,Bit Manipulation
79,Array
79,String
79,Backtracking
79,Depth-First Search
79,Matrix
80,Array
80,Two Pointers
81,Array
81,Binary Search
82,Linked List
82,Two Pointers
83,Linked List
84,Array
84,Stack
84,Monotonic Stack
85,Array
85,Dynamic Programming
85,Stack
85,Matrix
85,Monotonic Stack
86,Linked List
86,Two Pointers
87,String
87,Dynamic Programming
88,Array
88,Two Pointers
88,Sorting
89,Math
89,Backtracking
89,Bit Manipulation
90,Array
90,Backtracking
90,Bit Manipulation
91,String
91,Dynamic Programming
92,Linked List
93,String
93,Backtracking
94,Stack
94,Tree
94,Depth-First Search
94,Binary Tree
95,Dynamic Programming
95,Backtracking
95,Tree
95,Binary Search Tree
95,Binary Tree
96,Math
96,Dynamic Programming
96,Tree
96,Binary Search Tree
96,Binary Tree
97,String
97,Dynamic Programming
98,Tree
98,Depth-First Search
98,Binary Search Tree
98,Binary Tree
99,Tree
99,Depth-First Search
99,Binary Search Tree
99,Binary Tree
100,Tree
100,Depth-First Search
100,Breadth-First Search
100,Binary Tree
101,Tree
101,Depth-First Search
101,Breadth-First Search
101,Binary Tree
102,Tree
102,Breadth-First Search
102,Binary Tree
103,Tree
103,Breadth-First Search
103,Binary Tree
104,Tree
104,Depth-First Search
104,Breadth-First Search
104,Binary Tree
105,Array
105,Hash Table
105,Divide and Conquer
105,Tree
105,Binary Tree
106,Array
106,Hash Table
106,Divide and Conquer
106,Tree
106,Binary Tree
107,Tree
107,Breadth-First Search
107,Binary Tree
108,Array
108,Divide and Conquer
108,Tree
108,Binary Search Tree
108,Binary Tree
109,Linked List
109,Divide and Conquer
109,Tree
109,Binary Search Tree
109,Binary Tree
110,Tree
110,Depth-First Search
110,Binary Tree
111,Tree
111,Depth-First Search
111,Breadth-First Search
111,Binary Tree
112,Tree
112,Depth-First Search
112,Breadth-First Search
112,Binary Tree
113,Backtracking
113,Tree
113,Depth-First Search
113,Binary Tree
114,Linked List
114,Stack
114,Tree
114,Depth-First Search
114,Binary Tree
115,String
115,Dynamic Programming
116,Linked List
116,Tree
116,Depth-First Search
116,Breadth-First Search
116,Binary Tree
117,Linked List
117,Tree
117,Depth-First Search
117,Breadth-First Search
117,Binary Tree
118,Array
118,Dynamic Programming
119,Array
119,Dynamic Programming
120,Array
120,Dynamic Programming
121,Array
121,Dynamic Programming
122,Array
122,Dynamic Programming
122,Greedy
123,Array
123,Dynamic Programming
124,Dynamic Programming
124,Tree
124,Depth-First Search
124,Binary Tree
125,Two Pointers
125,String
126,Hash Table
126,String
126,Backtracking
126,Breadth-First Search
127,Hash Table
127,String
127,Breadth-First Search
128,Array
128,Hash Table
128,Union-Find
129,Tree
129,Depth-First Search
129,Binary Tree
130,Array
130,Depth-First Search
130,Breadth-First Search
130,Union-Find
130,Matrix
131,String
131,Dynamic Programming
131,Backtracking
132,String
132,Dynamic Programming
133,Hash Table
133,Depth-First Search
133,Breadth-First Search
133,Graph Theory
134,Array
134,Greedy
135,Array
135,Greedy
136,Array
136,Bit Manipulation
137,Array
137,Bit Manipulation
138,Hash Table
138,Linked List
139,Array
139,Hash Table
139,String
139,Dynamic Programming
139,Trie
139,Memoization
140,Array
140,Hash Table
140,String
140,Dynamic Programming
140,Backtracking
140,Trie
140,Memoization
